s
indexer,parentBountyId,proposer,index,value,dValue,fee,curator,beneficiary,unlockAt,description,meta,state,isFinal,stateSort,deposit,fiatValue,symbolPrice
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 81, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2213,313300000000,{'$numberDecimal': '313300000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,1TtCbdG7LjYwry8bYK6zV3xq2XAnXod4jf2htxH2NE1Wf2Q,22691515.0,"Content creation V_196    ""Cesar cripto""","{'parentBounty': 42, 'value': 313300000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '1TtCbdG7LjYwry8bYK6zV3xq2XAnXod4jf2htxH2NE1Wf2Q', 'unlockAt': 22691515}}}","{""indexer"": {""blockHeight"": 22708715, ""blockHash"": ""0x1753cd22cb29aedc0427b142218aee9bd071672c6d4fd96995c70938671d2c77"", ""blockTime"": 1727381646000, ""eventIndex"": 66, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 75, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2212,376900000000,{'$numberDecimal': '376900000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,12e7u2ZtFo9Fxp3ZQhTqJHV619AyntdXwghKzkyWk4XFU4Sj,22691515.0,"Content creation V_195   ""Max crypto""","{'parentBounty': 42, 'value': 376900000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '12e7u2ZtFo9Fxp3ZQhTqJHV619AyntdXwghKzkyWk4XFU4Sj', 'unlockAt': 22691515}}}","{""indexer"": {""blockHeight"": 22693528, ""blockHash"": ""0xc67e4164dfe651785ee38d587a4995ffe2e4e7ca4d718cfaced4eaddc14d3609"", ""blockTime"": 1727290452001, ""eventIndex"": 62, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 69, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2211,1397000000000,{'$numberDecimal': '1397000000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK,22691515.0,"Content creation V_194 V_198  ""Bra""","{'parentBounty': 42, 'value': 1397000000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '1CaXBXVGNbey352w7ydA1A2yDyNQLshycom8Zyj69v5eRNK', 'unlockAt': 22691515}}}","{""indexer"": {""blockHeight"": 22713350, ""blockHash"": ""0x0e6adc20a537eab78d92a932d333ee9453af87a9886d24b8ac3b6485df94ccfe"", ""blockTime"": 1727409462000, ""eventIndex"": 55, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 63, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2210,620800000000,{'$numberDecimal': '620800000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,15rqj6yN29bxzbjFWxYGNB1TaRdqrESkg7SZNDDHTcSsjNXq,22691461.0," Content creation V_191 V_192 V_197 ""Axel becker""","{'parentBounty': 42, 'value': 620800000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '15rqj6yN29bxzbjFWxYGNB1TaRdqrESkg7SZNDDHTcSsjNXq', 'unlockAt': 22691461}}}","{""indexer"": {""blockHeight"": 22692384, ""blockHash"": ""0x84250d6a62280f1b4abc800ecd665f11aef50039be1a212c6c4329def5aa08db"", ""blockTime"": 1727283576001, ""eventIndex"": 66, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 57, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2209,433000000000,{'$numberDecimal': '433000000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,16Lcg6kZiDywR3YEHDdi6nHQhGnCYTiE2gxQ92DDQq2SZ1PQ,22691398.0," Content creation V_190 ""Nixon""","{'parentBounty': 42, 'value': 433000000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '16Lcg6kZiDywR3YEHDdi6nHQhGnCYTiE2gxQ92DDQq2SZ1PQ', 'unlockAt': 22691398}}}","{""indexer"": {""blockHeight"": 22781777, ""blockHash"": ""0xe0ab64748162ec25d4c7f690f5c53f4130f875f58dae60835b7a5cbff4a1982f"", ""blockTime"": 1727820960001, ""eventIndex"": 66, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690642, ""blockHash"": ""0x99095cdf335395fe2a5ffc8b3ca6f522b0a0a9c3f608526f1bb43b3ae7dad9d6"", ""blockTime"": 1727273124001, ""eventIndex"": 51, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2208,3241100000000,{'$numberDecimal': '3241100000000'},0.0,15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP,136Fm42HZTxUAQD1zDxXuzeF8JgijeDfTSkFBWJKxzVAgQ8K,22690952.0,"Content creation V_188 V_193 ""Hector B""","{'parentBounty': 42, 'value': 3241100000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '15AZxmt271W7YBo41JrxCYJHqdXhyrXsHhm5paFkd5GpreGP', 'beneficiary': '136Fm42HZTxUAQD1zDxXuzeF8JgijeDfTSkFBWJKxzVAgQ8K', 'unlockAt': 22690952}}}","{""indexer"": {""blockHeight"": 22691252, ""blockHash"": ""0x85a61ebfccdc93d8770e6cfa5695dc0dba06773df0989b88f4270b0f79fa9bce"", ""blockTime"": 1727276784000, ""eventIndex"": 64, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690563, ""blockHash"": ""0x7bfcc3e6b791b5717fd3149af75ca3bef5cd8900d3bfced1b1de6481238b6134"", ""blockTime"": 1727272650000, ""eventIndex"": 82, ""extrinsicIndex"": 3}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2207,96500000000,{'$numberDecimal': '96500000000'},0.0,13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg,12sEC4VQWtEK52pMTNehM3KnpRQrcgW8VyQxqhBpcNdwZc3R,22693954.0,Spanish Bounty - CE_110 Alejandro (Armentsk),"{'parentBounty': 42, 'value': 96500000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg', 'beneficiary': '12sEC4VQWtEK52pMTNehM3KnpRQrcgW8VyQxqhBpcNdwZc3R', 'unlockAt': 22693954}}}","{""indexer"": {""blockHeight"": 22693968, ""blockHash"": ""0x9687540e832642b18218d0f687cc76f28567d84675d3ef072b9ddd7fd73486bd"", ""blockTime"": 1727293092001, ""eventIndex"": 59, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690563, ""blockHash"": ""0x7bfcc3e6b791b5717fd3149af75ca3bef5cd8900d3bfced1b1de6481238b6134"", ""blockTime"": 1727272650000, ""eventIndex"": 76, ""extrinsicIndex"": 3}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2206,246300000000,{'$numberDecimal': '246300000000'},0.0,13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg,1qAsfc59XsRLiy3DZfc4buS4umW6Q4xaJcWALj1eguZTi75,22693954.0,Spanish Bounty - CE-109/TT_179/TT_180/TT_181 Lily,"{'parentBounty': 42, 'value': 246300000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg', 'beneficiary': '1qAsfc59XsRLiy3DZfc4buS4umW6Q4xaJcWALj1eguZTi75', 'unlockAt': 22693954}}}","{""indexer"": {""blockHeight"": 22693970, ""blockHash"": ""0xe3be62891d0eb4882dc4c3780d3e3f6f6e188d2e21ae3d1f79bccec09d25123c"", ""blockTime"": 1727293104000, ""eventIndex"": 56, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690563, ""blockHash"": ""0x7bfcc3e6b791b5717fd3149af75ca3bef5cd8900d3bfced1b1de6481238b6134"", ""blockTime"": 1727272650000, ""eventIndex"": 70, ""extrinsicIndex"": 3}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2205,94700000000,{'$numberDecimal': '94700000000'},0.0,13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg,15V2eerTdn7GwAudPkLiWWq7PJdZinx7Lx7qSq9nTNTBHi2j,22693954.0,Spanish Bounty - CE_107 Tododecripto,"{'parentBounty': 42, 'value': 94700000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg', 'beneficiary': '15V2eerTdn7GwAudPkLiWWq7PJdZinx7Lx7qSq9nTNTBHi2j', 'unlockAt': 22693954}}}","{""indexer"": {""blockHeight"": 22693972, ""blockHash"": ""0x0a1d0f1cfe1f8cc3fc806eaff8d5a672a8f52342cadbfa6e356a17cae150071d"", ""blockTime"": 1727293116001, ""eventIndex"": 64, ""extrinsicIndex"": 3}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690563, ""blockHash"": ""0x7bfcc3e6b791b5717fd3149af75ca3bef5cd8900d3bfced1b1de6481238b6134"", ""blockTime"": 1727272650000, ""eventIndex"": 64, ""extrinsicIndex"": 3}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2204,352400000000,{'$numberDecimal': '352400000000'},0.0,13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg,131cQySF87ceHM9F7JZb6rRfaGzGvX42oJKty6deyCKc5TRh,22693954.0,Spanish Bounty - CE_106/CE_108/115/182 Willy,"{'parentBounty': 42, 'value': 352400000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '13343zPsd3yZhwpAphFysoVQA3De2vDMELVMxbgExpHB5UCg', 'beneficiary': '131cQySF87ceHM9F7JZb6rRfaGzGvX42oJKty6deyCKc5TRh', 'unlockAt': 22693954}}}","{""indexer"": {""blockHeight"": 22693974, ""blockHash"": ""0x5e3bfd34cc19dfed87827c23b31b09d9f3909c44329cab44ba3d2ea9f25f1d8a"", ""blockTime"": 1727293128000, ""eventIndex"": 55, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,100000000000.0,,
"{""blockHeight"": 22690400, ""blockHash"": ""0x6f06693fe9848af8282536682d057a818c65e90952eba8575e5cbfa5e8ef8527"", ""blockTime"": 1727271672001, ""eventIndex"": 82, ""extrinsicIndex"": 2}",42,15V3YDhibKoqFgQwZtyGNMDPyNtf8XUH2GU7BgRUqCQ1V9ku,2203,77500000000,{'$numberDecimal': '77500000000'},0.0,12xRcHjvStkUYgzTh9vyqinN3tUpddgcPnSUcLXZ3ty44Mq1,13gzrNGhMUZpVsuH3rBTt9g3CJrs7iRVHagKicb3GD6RbppB,22690546.0,Spanish Bounty Translation 187 Yovanny,"{'parentBounty': 42, 'value': 77500000000, 'fee': 0, 'curatorDeposit': 100000000000, 'status': {'pendingPayout': {'curator': '12xRcHjvStkUYgzTh9vyqinN3tUpddgcPnSUcLXZ3ty44Mq1', 'beneficiary': '13gzrNGhMUZpVsuH3rBTt9g3CJrs7iRVHagKicb3GD6RbppB', 'unlockAt': 22690546}}}","{""indexer"": {""blockHeight"": 22693982, ""blockHash"": ""0x7c1142904e595ec9386551cb1493d8b5738ef342f2a947205613b76125a30366"", ""blockTime"": 1727293176000, ""eventIndex"": 56, ""extrinsicIndex"": 2}, ""state"": ""Claimed""}",True,5,100000000000.0,,
